ID,Nome,Email,Telefone,Documento,Endereco,Origem
"1758682801816","UPHOLD UNIDADE SP LESTE ASSESSORIA CONTABIL LTDA. - ME","teste.alfa@teste.com","21.466.182/0001-60","51357119","","tabela-1"
"1758682801818","ANNA CORRETORA E ADMINISTRADORA DE SEGUROS E BENEFICIOS LTDA","seguradoras@annaseguros.com.br","57.741.231/0001-73","18261558","","tabela-1"
"1758682801820","RESTART PRIME CORRETORA DE SEGUROS LTDA","marcelo@restartseguros.com.br","60.544.553/0001-37","17926076","","tabela-1"
"1758682801821","FA CONSULT CORPORATE LTDA","faguiar74@hotmail.com","62.027.724/0001-86","19313675","","tabela-1"
"1758682801822","SECURE PLUS CORRETORA DE SEGUROS LTDA","gboliveira01@gmail.com","60.849.141/0001-05","18191150","","tabela-1"
"1758682801823","UPHOLD UNIDADE SP LESTE ASSESSORIA CONTABIL LTDA. - ME","contato@dt7.solutions","21.466.182/0001-60","51357119","","tabela-1"
"1758682801824","JULIE PRODUCOES DE MODA LTDA","financeirojuliecardoso@gmail.com","48.812.542/0001-95","17420555","","tabela-1"
"1758682801825","A.M.B.V CORRETORA DE SEGUROS LTDA","mvb@amvb.com.br","44.890.737/0001-00","71817484","","tabela-1"
"1758682801826","TATIANE NETA DOS SANTOS ARQUITETA LTDA","tatiane.proj@hotmail.com","59.969.020/0001-18","17436117","","tabela-1"
"1758682801828","VENOVATT CORRETORA DE SEGUROS LTDA","alexsandro.consorcio@hotmail.com","59.888.466/0001-18","1734224","","tabela-1"
"1758682801829","CATARINA ABREU SABINO SERVICOS DE EDUCACAO E APOIO DOCUMENTAL LTDA","catarina.abreu.sabino@gmail.com","31.088.691/0001-50","60706708","","tabela-1"
"1758682801830","RODRIGUES SOARES EMPREENDIMENTOS E CONSTRUCOES LTDA","rsec@terra.com.br","38.847.414/0001-23","97562475","","tabela-1"
"1758682801832","MELISSA MELO SERVIÇOS DE ANÁLISE CONTRATUAL E PARECERES LTDA","melo.melissa@outlook.com","59.474.153/0001-13","16963580","","tabela-1"
"1758682801834","VANESSA SANTOS DE ARAUJO 39884994803","v.araujo27@hotmail.com","27.684.175/0001-11","57115532","","tabela-1"
"1758682801836","EFFES CORRETORA DE SEGUROS LTDA","fabiofc84@hotmail.com","57.978.624/0001-03","15679268","","tabela-1"
"1758682801838","LUJAN & ROSSATTO PRESTADORA DE SERVICOS LTDA","rossattoseguros@uol.com.br","59.121.838/0001-86","16635078","","tabela-1"
"1758682801839","UZI CONSULTORIA E TREINAMENTO LTDA","viveiros.rafael@gmail.com","58.457.507/0001-59","16188578","","tabela-1"
"1758682801840","GINA MONTIEL NEGOCIOS E CONSULTORIA LTDA","Gina.montiel@hotmail.com","58.740.394/0001-02","16316924","","tabela-1"
"1758682801841","ARK CORRETORA DE SEGUROS LTDA","ANDREA.ROCHA@ARKSEGUROS.COM.BR","24.092.002/0001-16","16297580","","tabela-1"
"1758682801842","TEAM MOREIRA LTDA","Urgabrieli338@gmail.com","58.416.567/0001-23","16121333","","tabela-1"
"1758682801844","UPHOLD UNIDADE SP LESTE ASSESSORIA CONTABIL LTDA. - ME","jaqueline@uphold.com.br","21.466.182/0001-60","51357119","","tabela-1"
"1758682801845","CICLUS CORRETORA DE SEGUROS LTDA","ivan@cicluscorretora.com.br","58.399.482/0001-84","16115481","","tabela-1"
"1758682801846","LML GESTAO EDUCACIONAL LTDA","lucasmacliv@gmail.com","58.422.497/0001-16","16294920","","tabela-1"
"1758682801847","ATENTE-C CORRETORA DE SEGUROS LTDA","lucianoduartecorretor@gmail.com","57.562.678/0001-85","15372391","","tabela-1"
"1758682801848","LAURA LIVIAN CHAVES PAULINO SERVICOS DE EDUCACAO E APOIO DOCUMENTAL LTDA","Lauralivian@hotmail.com","58.189.410/0001-02","15963012","","tabela-1"
"1758682801849","V J T CORRETORA DE SEGUROS LTDA","Vivijtelles@hotmail.com","55.471.084/0001-33","13845152","","tabela-1"
"1758682801851","STATIV CORRETORA DE SEGUROS E CONSORCIO LTDA","ingridy@stativseguros.com.br","35.383.767/0001-21","64436357","","tabela-1"
"1758682801852","UPHOLD UNIDADE SP LESTE ASSESSORIA CONTABIL LTDA. - ME","joao.menegaz@yssy.com.br","21.466.182/0001-60","51357119","","tabela-1"
"1758682801853","UPHOLD UNIDADE SP LESTE ASSESSORIA CONTABIL LTDA. - ME","juliano.junior@yssy.com.br","21.466.182/0001-60","51357119","","tabela-1"
"1758682801854","TPNF CONSULTORIA LTDA","rodd.serpa@yahoo.ie","57.458.068/0001-36","15194213","","tabela-1"
"1758682821826","SOLICITAR NOTA FISCAL","","","","","lista"
"1758682821829","MINHAS SOLICITAÇÕES","","","","","lista"
"1758682821832","Previous","","","","","lista"
